name,province
Karachi,Sindh
Lahore,Punjab
Islamabad,Federal Capital
Rawalpindi,Punjab
Faisalabad,Punjab
Multan,Punjab
Hyderabad,Sindh
Peshawar,Khyber Pakhtunkhwa
Quetta,Balochistan
Sialkot,Punjab
Gujranwala,Punjab
Bahawalpur,Punjab
Sargodha,Punjab
Sukkur,Sindh
Larkana,Sindh
Sheikhupura,Punjab
Mirpur Khas,Sindh
Rahim Yar Khan,Punjab
Jhang,Punjab
Dera Ghazi Khan,Punjab
Gujrat,Punjab
Sahiwal,Punjab
Wah Cantonment,Punjab
Mardan,Khyber Pakhtunkhwa
Kasur,Punjab
Okara,Punjab
Mingora,Khyber Pakhtunkhwa
Nawabshah,Sindh
Chiniot,Punjab
Kotri,Sindh
Kāmoke,Punjab
Hafizabad,Punjab
Sadiqabad,Punjab
Mirpur,Azad Kashmir
Muzaffarabad,Azad Kashmir
Abbottabad,Khyber Pakhtunkhwa
Attock,Punjab
Jacobabad,Sindh
Shikarpur,Sindh
Khanewal,Punjab
Khairpur,Sindh
Dadu,Sindh
Bahawalnagar,Punjab
Kohāt,Khyber Pakhtunkhwa
Charsadda,Khyber Pakhtunkhwa
Murree,Punjab
Jhelum,Punjab
Swabi,Khyber Pakhtunkhwa
Gwadar,Balochistan 
